date,headline,abstract,document_type,type_of_material,news_desk,section_name,subjects
9/3/1985,DIET DEFICIENCY OF VITAMIN A IS REVEALED AS A MAJOR KILLER,"DIETARY deficiencies of vitamin A, long implicated as a cause of blindness, have now been linked to hundreds of thousands of deaths of children each year in Africa, Asia and Latin America.   New findings, described by one expert as ''electrifying'' in their implications, are galvanizing international efforts to combat the deficiency. The studies indicate that the vitamin deficit, which is widespread in the third world and a major cause of blindness there, is also responsible for significant increases in measles, diarrhea and other potentially deadly diseases among tens of millions of children.   International health officials are developing a plan they hope will eliminate the deficiency worldwide and, in the process, reduce childhood deaths. Experts said the findings had already rejuvenated flagging vitamin therapy programs in Bangladesh and other Asian countries.",article,News,Science Desk,Science,"['Latin America', 'AFRICA', 'ASIA', 'Diet and Nutrition', 'Vitamins', 'Children and Youth', 'Blindness', 'Food']"
10/6/1985,LIBRARY USES ITS OWN STUDIO TO ADD MORE BOOKS FOR BLIND,"The New York Public Library has installed a new recording booth to increase its selection of books for blind and other handicapped patrons in the New York area.   Volunteers at the library's two-year-old audio-book studio, in an office above the 58th Street branch library, have already produced 15 titles for the collection of tapes and disks, according to the director of the studio, Winifred Messe.   Fifteen more tapes are in production. They are part of about 34,000 titles in the library's collection, most of which are produced by the Library of Congress.",article,News,Metropolitan Desk,New York,"['New York City', 'New York Public Library', 'RECORDINGS (AUDIO)', 'Blindness', 'Handicapped']"
10/9/1985,PERSONAL HEALTH,"IF a tree falls in the forest and no one is around to hear it, does it make any noise? The answer to this perennial puzzle is yes. Sound is generated when molecules of air are displaced, setting up a gradually widening series of ripples that resembles a wedge cut from the ripples on a lake after a fish jumps.   But while sound does not depend upon someone hearing it, people depend on hearing sound as an aid to survival: the honk of a horn, the ring a telephone or doorbell, the buzz of an alarm, not to mention the voices of other people, both live and electronically transmitted.   Thanks to modern technology, most of the nation's 17 million hearing-impaired individuals can now be helped to hear better through a variety of sophisticated devices, ranging from hearing aids custom-designed to the person's particular hearing problem to a still-experimental implant that can take over for the damaged cells that cause most cases of so-called nerve deafness.   And for those who cannot conduct conversations by telephone, special typewriters and minicomputers are now available that can transcribe phone messages both to and from the hearing-impaired.",article,Series,Living Desk,Home & Garden,"['Deafness', 'Hearing Aids', 'PERSONAL HEALTH (TIMES COLUMN)']"
10/13/1985,INSTITUTE ACTS TO AID LEARNING DISABLED,"IN A small room at the Institute for Child Development here, four smiling adults maneuvered themselves around 4-month-old Frankie L., who lay on a mat.   As the adults - a developmental pediatrician, a speech-and-hearing pathologist, an occupational therapist and a physical therapist - seemingly played with Frankie, each took notes on such things as whether his eyes followed a moving object and the kinds of sounds he made. They also watched his body movements in response to stimuli.   Frankie was born seven weeks prematurely at Hackensack Medical Center, where the institute is situated, and was recommended to the institute staff for observation.",article,News,New Jersey Weekly Desk,New York,"['CHILD DEVELOPMENT, INSTITUTE FOR', 'Learning Disabilities', 'Education and Schools', 'Children and Youth']"
10/29/1985,Police in Wyoming Seek Clues to a Boy's Identity,The police searched today for clues to the identity of a teen-ager who can neither hear nor speak and who arrived at a bus station here with no identification. The youth carried a five-page letter apparently written by his mother urging him to seek a better life.,article,News,National Desk,U.S.,"['Cheyenne (Wyo)', 'Denver (Colo)', 'Deafness', 'Children and Youth', 'Lost, Missing and Runaway Children', 'Speech']"
10/30/1985,"AROUND THE NATION;Mystery Youth Is Man With a Past, Police Say","A young man who had arrived at a bus station with a note signed ''Mommy,'' indicating he had been abandoned, and who convinced experts he could neither speak nor hear has been identified as a convict, the police said today.         He was identified through fingerprints as Gordon Vanderberg, a 22-year-old man with a criminal record in New York and New Jersey, said Lieut. Jim Barker. The man who arrived here Saturday carried a letter saying he had lost his hearing as a baby. He was thought to be 17 and was sent to stay with a foster family in Cheyenne.",article,News,National Desk,U.S.,"['Cheyenne (Wyo)', 'VANDERBERG, GORDON', 'Deafness', 'IDENTITY, MISTAKEN', 'ABANDONMENT', 'Speech']"
11/3/1985,THE VISUALLY IMPAIRED WILL GET MORE TO READ,"MANY of America's 11 million visually impaired people, who are incapable of reading the print of the typical hardcover or paperback book, have had few alternatives to giving up reading altogether. The growing number of books on tape has helped somewhat, but until recently, few bookstores have carried large-print books; libraries that do carry them usually have a limited selection, and none of the 140 or more adult book clubs, which cater to everyone from nurses to chemical engineers to organic gardeners, have catered to people with poor eyesight.   But help is finally on the way. Doubleday recently started a Large Print Home Library, offering the visually disabled a broad range of hardcover novels, mysteries, romances and how-to titles. And a number of others in the book industry are moving to cater to the small but growing large-print segment of the market:    * Waldenbooks recently agreed to stock in 350 of its stores the large-print books from G. K. Hall, the Boston company that has been a pioneer publisher of such books.",article,News,Cultural Desk,Books,"['ULVERSCROFT', 'ISIS LARGE PRINT BOOKS', 'WALKER & CO', 'THORNDIKE PRESS', 'WALDENBOOKS', 'DOUBLEDAY & CO INC', 'Books and Literature', 'Book Trade', 'Blindness']"
11/6/1985,Hearing Problems,"TO THE LIVING SECTION:   I wish to respond to the letter of Raymond G. Kuntz, which appeared Sept. 4. It referred to the Amy Rowley case and was a response to the story ''Faces Behind Famous Cases'' on June 19. Mr. Kuntz described Amy Rowley's hearing in a way that is clearly confusing to an uneducated person and I think misrepresents the situation.",article,Letter,Living Desk,Home & Garden,"['MADELL, JANE R', 'KUNTZ, RAYMOND G', 'Deafness', 'Education and Schools', '0SPECIAL EDUC']"
11/7/1985,Jurors Acquit a Blind Couple In Dispute Over Airline Seats,A blind couple have been acquitted of misdemeanor charges for refusing to move from airline seats near an emergency exit.,article,News,National Desk,U.S.,"['Louisville (Ky)', 'UNITED AIR LINES', 'JACOBSON, STEVEN', 'JACOBSON, NADINE', 'AIRLINES AND AIRPLANES', 'Blindness']"
11/14/1985,What's a Parent to Do?,"To the Editor:   The difficulties with public education that Frederick H. Weibgen describes in ''Getting Lara, 4, a Bright Girl, Into School'' (Op-Ed, Oct. 26) can be just as devastating on the other end of the scale. Securing a quality education for a child with learning disabilities has proved a most frustrating experience for us.",article,Letter,Editorial Desk,Opinion,"['WIESNER, FAITH', 'WEIBGEN, FREDERICK H', 'Equal Educational Opportunities', 'Learning Disabilities', 'EDUCATION (PRIMARY)', 'Education and Schools', 'Private Schools', 'Education (Pre-School)']"
12/5/1985,BLIND READERS FILE LAWSUIT OVER U.S. BAN ON BRAILLE PLAYBOY,"A group of blind readers, complaining of what they called ''blatant, paternalistic censorship,'' filed a lawsuit today in Federal District Court here seeking to overturn a Congressional ban on publishing a Braille edition of Playboy magazine at the Government's expense.   The target of the suit is an amendment approved by the House on a 216-to-193 roll-call vote last July 18 intended to halt the Library of Congress' publication of Braille editions of Playboy, one of 36 magazines distributed in Braille under its 54-year-old National Library Service for the Blind and Physically Handicapped.   Representative Chalmers P. Wylie, an Ohio Republican who sponsored the amendment, complained in the floor debate of ''talk about wanton idleness, of wanton and illicit sex and so forth'' in Playboy articles.",article,News,National Desk,U.S.,"['PLAYBOY', 'Braille', 'Censorship', 'Magazines', 'PORNOGRAPHY AND OBSCENITY', 'Discrimination', 'SUITS AND CLAIMS AGAINST GOVERNMENT', 'Blindness']"
12/9/1985,"'LOVE IS NEVER SILENT,' ON DEAFNESS IN A FAMILY","WE have come to expect certain values in a ''Hallmark Hall of Fame'' production: fine actors, lavish sets with scrupulous attention to detail, and what must be called, until a better phrase comes along, family entertainment. We get all this in ''Love Is Never Silent'' on NBC at 9 P.M. tonight.   To be sure, ''family entertainment'' has a slightly pejorative connotation. We think of sentiment and uplift. Actually, there's nothing wrong with either of these qualities, and they're present in the production tonight. The sentiment, however, isn't saccharine, and the uplift isn't cloying. ''Love is Never Silent'' is tough-minded.",article,Review,Cultural Desk,Arts,"['Deafness', 'Reviews', 'Television', 'LOVE IS NEVER SILENT (TV PROGRAM)']"
12/14/1985,Amputee Loses Lawsuit Against Cigarette Maker,"A Federal district judge today dismissed an amputee's $55 million lawsuit against the R. J. Reynolds Tobacco Company, ruling that the amputee, Floyd Roysdon, had failed to prove the company's cigarettes were more dangerous than a customer should expect.   Floyd Roysdon, the 51-year-old plaintiff, contended smoking Camel and Winston cigarettes had caused the circulatory problems that led to the amputation of his left leg.   The judge, Thomas Hull, said the issue was ''what an ordinary consumer would be expected to know.'' Mr. Roysdon, who lives in Oneida, Tenn., testified that he had smoked since he was 10 and still smoked half a pack a day.",article,News,National Desk,U.S.,"['United States', 'Knoxville (Tenn)', 'Reynolds, R J, Tobacco Co', 'HULL, THOMAS', 'ROYSDON, FLOYD', 'AMPUTATION', 'Legs', 'Suits and Litigation', 'SMOKING', 'Consumer Protection', 'Decisions and Verdicts']"
12/15/1985,THEATER GROUP ADDRESSES THE DEAF,"MARK TWAIN'S Captain Stormfield, and tales of some wriggling crabs and a man who turns outer space green are being performed this month in Connecticut -and in India and Nepal, too.   Portraying these and assorted other characters are members of the Chester-based National Theatre of the Deaf, who have split for most of December into two troupes to perform for young audiences. While one group travels through India and Nepal, the other is visiting schools in Connecticut.   For 18 years, the company, most of whose members (are deaf, have toured the United States and other countries with performances that blend sign language, body movement and the spoken word.",article,News,Connecticut Weekly Desk,New York,"['Connecticut', 'India', 'Nepal', 'National Theater of the Deaf', 'Deafness', 'Theater']"
12/19/1985,"VETERANS OF PAIN, AFGHAN CHILDREN GET HELP IN U.S.","The four children, in traditional Afghan garb, stood tired and bewildered amid the holiday crowds that filled the arrival hall of Kennedy International Airport. ''Who are those children?'' strangers kept asking, struck by their strangers kept asking, struck by their exotic dress and a somber dignity that seemed beyond their years.   The answer was that they are children who are victims of a conflict that has been going on since 1978. What was not visible to the airport crowds Tuesday afternoon was that under their flowing clothing, the children - two girls, Zarmina, aged 4, and Utmarkhail, 10; and two boys, Shafiullah, 7, and Mozafar, 10 - are amputees who have been brought here to receive artificial limbs.",article,News,Foreign Desk,World,"['AFGHANISTAN', 'Massachusetts General Hospital', 'AFGHANISTAN ALLIANCE, FREE', 'AMPUTATION', 'Children and Youth', 'Civil War and Guerrilla Warfare', 'PROSTHESIS']"
12/23/1985,Instant Announcer,"Because he liked basketball, and because he also liked Rhonda Woodruff, who played guard for the women's team at Walters State Community College in Morristown, Tenn., Darren Allen used to hang around the gym while the Lady Senators practiced.   During one such drill last year, Allen, then a Walters State freshman, suddenly began calling out the players' names at random, replete with the crispness he had heard coming over so many public-address systems at so many arenas. ''He sounded good,'' recalls Coach Dave Kragel, ''and we needed an announcer.'' After practice, Kragel asked Miss Woodruff if she thought Allen would mind filling the job. They weren't sure what his answer would be, because Darren Allen is blind.",article,News,Sports Desk,Sports,"['WALTERS STATE COMMUNITY COLLEGE', 'ALLEN, DARREN', 'Blindness', 'Basketball']"
12/27/1985,Art of Sign Language,Sign language is usually thought of as the means of communication for the deaf.,article,News,Weekend Desk,Arts,"['Katz, Charles', 'Deafness', 'Sign Language']"
12/28/1985,CLOSED-CAPTIONING FOR BOSTON NEWS,"Two Boston television stations will begin offering closed-captioning for hearing-impaired people on their local evening news programs next year, becoming the first stations in the country to offer the service for such programs, the stations said.   Starting in March, WCVB-TV and WGBH-TV will offer live closed-captioning - data included in television broadcast signals that can be translated by a special decoder into words at the bottom of the television screen.   WCVB-TV, an ABC affiliate, will follow the lead of its network, which has included closed-captioning on its network news and much of its prime-time programming for several years.",article,News,Cultural Desk,Arts,"['Boston (Mass)', 'United States', 'WGBH-TV', 'WCVB-TV', 'Deafness', 'Television']"
1/5/1986,NEW JERSEYANS,"THE road to Mark S. Hurvitz's career as a rabbi to the Jewish deaf began with the sounds of music.

Rabbi Hurvitz, a 40-year-old Teaneck resident, grew up in a secular (cultural) Jewish family in Los Angeles. His interest in playing the recorder led him to a music education at California State University in Los Angeles.

''I became involved in composition that enabled groups of people to experience music communally,'' the clergyman recalled.",article,News,New Jersey Weekly Desk,New York,"['HURVITZ, MARK (RABBI)', 'BALLINGER, ANNE MARIE', 'GARDNER, SANDRA', 'JEWS', 'Deafness', 'Sarcoidosis', 'RESPIRATION AND RESPIRATORS']"
1/6/1986,'COSBY' CAPTIONING SPARKS DISPUTE,"''The Cosby Show,'' the highest-rated show on television, brings NBC an estimated $1.5 million every week in advertising revenues and holds the promise of record earnings for the show's producers when it is sold into syndication.   But NBC and the ''Cosby'' producers are engaged in a dispute over who should pay the weekly tab -$1,250 - for captioning the hit series for deaf viewers.   ''It's a very small amount of money,'' said Annette Posell, manager of marketing for the Caption Center, a Boston-based agency that produces captions for television shows and commercials. ''But as everybody says, 'Somebody else should pay for it, it's not in my budget.' ''",article,News,Cultural Desk,Arts,"['NATIONAL BROADCASTING CO INC', 'Deafness', 'Television', 'Finances', 'COSBY SHOW, THE (TV PROGRAM)']"
1/8/1986,Braille Banking Machine,"Some of the most mundane conveniences - street signs, banking machines, building directories, elevators and menus - have become standard fixtures of modern life. But not for the blind, who, for the most part, are not served by them.   Margarine G. Beaman, who had never met a blind person until a few years ago, began thinking about this inequity after eavesdropping while a man was describing how he had learned Braille after having been blinded.",article,News,Metropolitan Desk,New York,"[""WOMEN'S FEDERATION, AUSTIN JUNIOR"", 'BEAMAN, MARGARINE G', 'SIGNS', 'Braille', 'Volunteers', 'SHOPPING CENTERS', 'Blindness', 'Banks and Banking']"
1/10/1986,Jockey Fights Vision Ruling,"When he was 8 years old, Charles Fletcher caught a dart in his right eye and permanently lost vision in it. But he's long since grown used to that handicap, which wasn't an issue when Fletcher, now 19, set out last summer to become an apprentice jockey. Having been granted a license by the State of Ohio, he rode in some 25 races at River Downs in Cincinnati.",article,News,Sports Desk,Sports,"['Kentucky', 'FLETCHER, CHARLES', 'Horse Racing', 'Jockeys, Drivers and Trainers', 'Blindness']"
1/11/1986,"PATENTS;
Audible Sound Identifies $1 to $20 Bills for Blind",An audible security validator for use by the blind was patented this week. It identifies bills from $1 to $20 and reports the amount by recorded sound.,article,News,Financial Desk,Business Day,"['ARDAC INC', 'Jones, Stacy V', 'Currency', 'Identification Devices', 'INVENTIONS AND INVENTORS', 'Blindness']"
1/24/1986,Lighthouse Benefit,"The soprano Linda Skroski and the pianist Valerie Capers, who are both blind, will be the featured artists in a concert Sunday to benefit the Lighthouse Professional Musicians' Fund, an annual event sponsored by the Lighthouse Music School to showcase the work of established blind musicians and to raise funds to support performance opportunities for other professional and aspiring blind musicians.",article,Review,Weekend Desk,Arts,"['SKROSKI, LINDA', 'Capers, Valerie', 'Music', 'CONCERTS AND RECITALS', 'Blindness']"
1/28/1986,HIGH COURT REVERSES RULING ON RELIGIOUS STUDIES,"The Supreme Court ruled unanimously today that the First Amendment does not necessarily bar use of state vocational rehabilitation money to finance religious studies by a partly blind student at a Christian college.   The Court reversed a Washington Supreme Court ruling that it would be an unconstitutional ''establishment of religion'' for the state to grant the request of Larry Witters of Spokane for vocational rehabilitation assistance.   But it rested today's ruling on such narrow grounds that it neither guarantees that Mr. Witters will ultimately win the money nor clarifies substantially the confused state of constitutional law as to various forms of government aid to religious education. Four Opinions Written    Underlining the Court's continuing fragmentation over this politically charged issue, four of the nine Justices wrote opinions, each giving somewhat different reasons for reaching the same result.",article,News,National Desk,U.S.,"['Spokane (Wash)', 'United States', 'Washington (State)', 'INLAND EMPIRE SCHOOL OF THE BIBLE', 'Supreme Court', 'WITTERS, LARRY', 'Equal Educational Opportunities', 'SECTARIAN SCHOOLS', 'Education and Schools', 'Suits and Litigation', 'Blindness', 'Supreme Courts (State)', 'Decisions and Verdicts']"
2/16/1986,DEAF COUNCILMAN'S BUSY ROLE IN A HEARING WORLD,"Kevin J. Nolan is unabashed about comparing himself with Ronald Reagan. ''We have four things in common,'' he says. ''We are both fans of Calvin Coolidge, we both enjoy jelly beans, we both were actors, and we are both hearing-impaired.''   Mr. Nolan, who was born deaf, understates his condition to make a point: He is handling his new political office without much difficulty. After a campaign against William C. Ames, a Republican who had been on the Northampton City Council for 20 years, Mr. Nolan, a Democrat, was elected to the City Council Nov. 5.",article,News,National Desk,U.S.,"['Northampton (Mass)', 'CITY COUNCILS', 'CLARKE SCHOOL FOR THE DEAF', 'NOLAN, KEVIN J', 'SALVUCCI, DAN', 'AMES, WILLIAM C', 'Deafness']"
2/23/1986,PLAN ON HANDICAPPED FOUGHT,"PARENTS of handicapped children are organizing to fight sweeping revisions in the state's system of special education. Some are forming coalitions to block the changes, others are mounting letter-writing campaigns and one group is going to court.   The proposed revisions would eliminate the state's system of labeling handicapped students and placing them in classes according to their disabilities. Instead, children would be placed in programs based on their instructional needs.   Under the plan, some 10,000 children with mild learning difficulties would be removed from the ranks of the ''handicapped,'' although they would continue to receive supplemental instruction.",article,News,New Jersey Weekly Desk,New York,"['New Jersey', 'Learning Disabilities', 'Reform and Reorganization', 'Standards and Standardization', 'Education and Schools', 'Handicapped', 'Special Education (Handicapped)']"
3/23/1986,NEW JERSEY JOURNAL,"TWENTY-eight years ago, a Short Hills woman with a severe congenital hearing loss underwent what was then radically new middle-ear surgery called a stapedectomy. The operation was a success, and a world of sound suddenly opened for her.   Overjoyed, the woman, Collette Ramsey, took out her checkbook and looked for a charity that could benefit from her gratitude, but could not find one. However, she was not easily discouraged; if there was no such organization, she would form one.   Thus was the Deafness Research Foundation born in midtown Manhattan, and with it a Short Hills connection involving successful business executives that continues to this day.",article,News,New Jersey Weekly Desk,New York,"['Short Hills (NJ)', 'DEAFNESS RESEARCH FOUNDATION', 'MAURER, ALVIN', 'RAMSEY, COLLETTE', 'Deafness', 'Research', 'Scholarships and Fellowships']"
3/30/1986,DOG DOES THE LISTENING FOR DEAF OWNER,"AS the telephone rang, a light above it flickered on and off. That was Radar's cue. But instead of swinging into action, the mini-Pinscher jerked his head in confusion as he stood among a group of people in Judy Williams's living room in Bridgeport.",article,News,Connecticut Weekly Desk,New York,"['RED ACRE FARM HEARING DOG CENTER (STOW, MASS)', 'Bass, Paul', 'Deafness', 'Dogs']"
4/6/1986,No Headline,"THE state's Department of Higher Education plans to pay for comprehensive programs for learning-disabled students at three colleges to be selected through a competitive application process.

In the last 10 years, there has been growing nationwide recognition that increasingly effective elementary and secondary special-education programs were enabling more learning-disabled students to acquire the knowledge and skills needed to compete in college.

Although it is estimated that there are 3,000 to 8,000 learning-disabled students on New Jersey campuses, only a handful of colleges offer programs to meet their specific needs.

Patricia Sokolow, executive director of the Monmouth-Ocean chapter of the Association for Children-Adults With Learning Disabilities, said she had been referring a growing number of parents seeking such programs to out-of-state colleges because of the scarcity of programs in New Jersey.

Dr. T. Edward Hollander, Chancellor of the Department of Higher Education, said that the learning-disabled, ''like every other population, ought to have a shot at a college education.''",article,News,New Jersey Weekly Desk,New York,"['New Jersey', 'RAMAPO STATE COLLEGE (NJ)', 'EDUCATION, DEPARTMENT OF HIGHER (NJ)', 'HOLLANDER, T EDWARD (CHANCELLOR)', 'SHAHEEN, JACQUELINE', 'Colleges and Universities', 'Learning Disabilities', 'STATE AND LOCAL AID (US)']"
4/10/1986,FROM THEOLOGICAL MALPRACTICE TO WRESTLING ON '20/20',"WHAT makes a successful magazine show? Diversity, for one thing; a little of this, a little of that, and a balanced texture of sincerity, worry and charm. One story may leave a viewer cold, but another story is coming up soon. ABC's ''20/20'' is a successful magazine show. Consider the program on Channel 7 at 10 tonight.",article,Review,Cultural Desk,Arts,"['AMERICAN BROADCASTING COS INC', 'Television', 'Religion and Churches', 'Malpractice', 'Blindness', 'Homosexuality', 'TWENTY/TWENTY (TV PROGRAM)']"
4/12/1986,"PATENTS;
SENSOR ON ARM AIDS LIP-READING BY DEAF",A device to be worn on the arm can provide a profoundly deaf person with tactile sensations that represent voice pitch and intonation patterns.,article,News,Financial Desk,Business Day,"['Jones, Stacy V', 'BOOTHROYD, ARTHUR', 'Deafness', 'INVENTIONS AND INVENTORS']"
4/13/1986,THEATER OF DEAF TO TOUR CHINA,"NEXT month the National Theater of the Deaf, based in Chester, will become the first theater company from the United States to tour China since cultural relations between the two countries were resumed in the 1970's. Aided by two Chinese performers, the troupe will introduce Chinese audiences to its unusual performance style.   ''We're the first American company to go, and we'll bring a kind of theater developed here,'' said David Hays, founder and artistic director of the theater group.   The National Theater of the Deaf, which now has eight deaf members and two hearing ones, has toured the United States and abroad for nearly 20 years with productions that blend sign language with the spoken word, which is provided by the hearing actors. Audiences are comprised mainly of hearing people who both hear and see every word.",article,News,Connecticut Weekly Desk,New York,"[""CHINA, PEOPLE'S REPUBLIC OF"", 'DEAF, NATIONAL THEATER OF THE', 'Hays, David', 'Deafness', 'Theater']"
5/4/1986,HELPING CHILDREN TO COMBAT DEAFNESS,"A year ago, 2-year-old Adrienne Thal was diagnosed as having profound loss of hearing.   Since then, two mornings a week, still wearing pajamas and carrying her breakfast cereal, the little girl has been bundled into an automobile for a two-hour drive from her grandmother's home in southern New Jersey to the League for the Hard of Hearing in Manhattan.   At the league, she spends hours in speech therapy sessions, learning simple words like mommy, daddy, baby, nose and hand. She wears a lightweight hearing device that amplifies the therapist's voice. The goal is to prepare her to enter a nursery school for normal children, a goal not all handicapped children can achieve.",article,News,Metropolitan Desk,New York,"['New York City', 'HEARING, LEAGUE FOR THE HARD OF', 'MADELL, JANE', 'Buses', 'Deafness', 'Babies', 'Tests and Testing']"
5/4/1986,HOW AN ALMOST-SEVERED LEG WAS SAVED,"IT WAS Friday the 13th and Barbara Cassara, a 29-year-old secretary, was moving from Elmwood Park to Hackensack. Little things had been going wrong all day, she recalled.   ''I figured it was going to be one of those days,'' Mrs. Cassara said, ''but little did I know what was in store for me.''   Late that night last September, the moving van was finally loaded and ready to pull out. Mrs. Cassara was standing behind the truck. No one is quite sure why, but when the driver turned on the ignition, the truck shot into reverse, pinning Mrs. Cassara against the wall of a building.",article,News,New Jersey Weekly Desk,New York,"['Hackensack Medical Center', 'HARTZBAND, MARK A', 'BOSS, WILLIAM K', 'CASSARA, BARBARA', 'AMPUTATION', 'Accidents and Safety', 'Legs', 'Surgery and Surgeons']"
5/14/1986,Advertising; TV Spot For Deaf Viewers,"APPARENTLY aware of the notion that good deeds are best measured by the amount of publicity they amass, the McDonald's Corporation is promoting a TV commercial for the deaf and starring the deaf. It will begin to air on network television tomorrow.   Roy T. Bergold, vice president, advertising, in the company of Beth Ann Bull, one of the spot's stars, and several other interested parties showed up for a screening at Carl Byoir & Associates, the public relations firm, Monday morning.   The 30-second commercial itself is about an engaging couple of college students who, at the urging of the young man and despite the fact that it is exam week, decide to go to McDonald's and get some takeout for a picnic on the beach. The dialogue is conducted in sign language against a background of a fairly muted musical score.",article,News,Financial Desk,Business Day,"[""McDonald's Corp"", 'BURNETT, LEO, CO INC', 'Deafness', 'Restaurants', 'ADVERTISING', 'Fast Food Industry', 'Handicapped', 'ADVERTISING (TIMES COLUMN)']"
6/1/1986,TEEN-AGE PITCHER STRIKES OUT ANGER,"IN a sense, the pitcher's mound has become the main vehicle in Buffy Spezzano's pursuit of life.

On it, Miss Spezzano, the 18-year-old starting pitcher for the Andrew Ward High School softball team in Fairfield, has achieved a level of consistency and excellence that has left her with few peers.

After 17 games, Miss Spezzano, a junior, had a record of 12 victories and 5 losses. She has pitched every inning of every game and has also pitched a no-hitter and two one-hitters. She is one of the reasons the school clinched the Fairfield County Interscholastic Athletic Conference eastern divison title, after being picked to finish anywhere from second to fourth in most preseason polls.",article,News,Connecticut Weekly Desk,New York,"['ANDREW WARD HIGH SCHOOL (FAIRFIELD, CONN)', 'Ruden, Dave', 'SPEZZANO, BUFFY', 'Baseball', 'Deafness', 'Handicapped', 'Children and Youth', 'Interscholastic Athletics']"
6/4/1986,"After 6 Years, Deaf Juror Takes Her Place",Mary Beth Miller tried to suppress a smile as she made her way to the jury box in a robbery trial in State Supreme Court in Manhattan last week. She did not want the judge to think that she was not serious about her civic responsibilities.,article,News,Metropolitan Desk,New York,"['New York City', 'Manhattan (NYC)', 'MILLER, MARY BETH', 'Deafness', 'Courts']"
6/14/1986,Too Much Sun Can Cause Night Blindness,"To the Editor:   It's now universally recognized that overexposure to the sun's ultraviolet rays could conceivably trigger the formation of cataracts (''Consumer Saturday,'' May 10, and ''In Sunglasses, Darkness Is Not Enough,'' letter, May 26). Overexposure produces another - but less obvious - danger, a form of temporary night blindness called ''transitory nyctalopia.''",article,Letter,Editorial Desk,Opinion,"['WEBER, JACK M', 'Sun', 'Radiation', 'Blindness']"
6/15/1986,DEAF IN MAINSTREAM,"Deaf and hearing-impaired students will be an integral part of one nearby college community next fall, a goal difficult if not impossible to attain in the past.   Several deaf students at Lehman College in the Bronx will have a better chance than others at reaching that goal in public colleges in the New York City area, according to Deborah Copeland, director of the Program for Deaf and Hearing-Impaired Students.   ''This will enable deaf students to succeed in whatever careers they choose from and not be limited,'' said Miss Copeland, herself deaf and speaking through an interpreter. Lehman College is the only public four-year institution in the area to offer the program, which will enable the students to take any course they wish and will provide oral and sign-language interpreters, counseling, tutoring and note-taking services to students who need help.",article,News,Westchester Weekly Desk,New York,"['Lehman College', 'Deafness', 'Sign Language']"
6/16/1986,LIFE OF SHAME OF AMPUTEES IN THE SUDAN,"''I still wrap it,'' said John Ruben, 19 years old, as he held up the stump where his right hand had been, the limb hidden by a dingy cloth. ''My hand was cut off in September 1984 but it is still very painful. The authorities just cut it and bandaged it and sent me to find my own treatment. It is very difficult to get used to. People always look down on me.''   Mr. Ruben's hand was amputated as punishment for purportedly stealing sticks of wood, a crime he insists he did not commit. He is one of as many as 300 Sudanese who have lost one or more limbs since the Sudan imposed strict Islamic law in 1983. The code carries such penalties as stoning for adultery, execution for heresy and whipping for the sale or consumption of alcohol. Emergency courts routinely ordered amputations for people found guilty of stealing property worth $40 or more.",article,News,Foreign Desk,World,"['Sudan', 'AMPUTATION', 'Sentences (Criminal)', 'Islam', 'Church-State Relations', 'Crime and Criminals']"
6/23/1986,Award for a Blind Student Of Music and Literature,"When Orlando Fiol sits down at the piano, he plays Chopin, Bach, Debussy or Vivaldi. On an electric piano, he leans to pop music and jazz.   When not making music, he might be found immersed in Shakespeare or in the French and Russian classics, writing fiction of his own or teaching himself Hebrew.",article,News,Metropolitan Desk,New York,"['New York City', 'STERN, M SAMUEL, MEMORIAL FOUNDATION', 'FIOL, ORLANDO', 'Education and Schools', 'Awards, Decorations and Honors', 'Blindness', 'Handicapped']"
7/6/1986,Elderly and Blind Are Tax Reform's Losers,"To the Editor:   One of the most widely hailed features of tax reform is the near doub-ling of the personal exemption to $2,000. Regrettably, the least discussed feature is the proposed repeal of the long-held extra exemption for the elderly (65 and over) and the blind.   The loss of the extra exemption at the $2,000 level means a difference of $300 a year to each elderly and blind taxpayer in the 15 percent bracket. Under the House and Senate bills a $600 standard deduction reduces this $300 to $210 for nonitemizers.",article,Letter,Editorial Desk,Opinion,"['United States', 'WEATHERS, A TERRY', 'Tax Exemptions', 'Reform and Reorganization', 'Taxation', 'Income Tax', 'AGED', 'Law and Legislation', 'Blindness']"
7/13/1986,A BOVINE DRUG THAT HELPS PEOPLE SEE,"DR. JOHN M. BOWEN, director of the Veterinary Medical Experiment Station for the University of Georgia's College of Veterinary Medicine, calls it a ''wonder drug.'' David K. Crossen, a drug analyst for Sanford C. Bernstein & Company, says it is ''the best anti-parasitic ever developed.'' And now another superlative is on the way: It may join the tiny number of animal drugs adapted to human use.",article,News,Financial Desk,Business Day,"['IVERMECTIN (DRUG)', 'Livestock', 'Blindness']"
